,test,prediccion
2020-08-24 01:00:00,37.93,28.19055300978156
2020-08-24 02:00:00,37.94,26.382401500256066
2020-08-24 03:00:00,41.19,24.247694048699273
2020-08-24 04:00:00,52.57,26.81661856981959
2020-08-24 05:00:00,52.2,33.39005543161752
2020-08-24 06:00:00,50.81,37.85963049949177
2020-08-24 07:00:00,50.61,36.17631992867611
2020-08-24 08:00:00,48.4,32.612000752616794
2020-08-24 09:00:00,49.81,37.21604946775409
2020-08-24 10:00:00,51.13,55.97918875085947
2020-08-24 11:00:00,118.89,83.36870471192243
2020-08-24 12:00:00,118.77,105.43311779571289
2020-08-24 13:00:00,117.95,111.54072638151857
2020-08-24 14:00:00,118.8,103.92396970830018
2020-08-24 15:00:00,118.83,95.63248776595924
2020-08-24 16:00:00,119.07,98.30390534332496
2020-08-24 17:00:00,120.59,111.0194703198168
2020-08-24 18:00:00,124.86,120.75679571922291
2020-08-24 19:00:00,129.61,114.12729538056186
2020-08-24 20:00:00,125.17,89.52725714555791
2020-08-24 21:00:00,56.07,58.62620952637544
2020-08-24 22:00:00,54.77,36.3029039872261
2020-08-24 23:00:00,51.38,28.777446314001935
2020-08-25 00:00:00,45.88,30.662256721013943
2020-08-25 01:00:00,44.34,32.48591024664993
2020-08-25 02:00:00,44.29,30.276145942942644
2020-08-25 03:00:00,46.43,27.73340362148152
2020-08-25 04:00:00,56.31,29.89176068542291
2020-08-25 05:00:00,57.12,36.05591046162384
2020-08-25 06:00:00,59.45,40.1211757990882
2020-08-25 07:00:00,56.09,38.04207623789381
2020-08-25 08:00:00,53.5,34.09384324474341
2020-08-25 09:00:00,52.03,38.328986094629016
2020-08-25 10:00:00,50.37,56.741108890043115
2020-08-25 11:00:00,114.78,83.80010144957502
2020-08-25 12:00:00,111.51,105.55678743753651
2020-08-25 13:00:00,111.44,111.3814490471086
2020-08-25 14:00:00,111.36,103.50817500931146
2020-08-25 15:00:00,115.12,94.98790972138761
2020-08-25 16:00:00,117.54,97.45923076551226
2020-08-25 17:00:00,119.04,110.0039849290888
2020-08-25 18:00:00,120.81,119.60003221751124
2020-08-25 19:00:00,121.29,112.85868764489496
2020-08-25 20:00:00,117.85,88.17580457023453
2020-08-25 21:00:00,49.09,57.22015537434987
2020-08-25 22:00:00,42.9,34.869431380107464
2020-08-25 23:00:00,42.01,27.342395233828427
2020-08-26 00:00:00,41.01,29.249865087598053
2020-08-26 01:00:00,41.64,31.118581800892827
2020-08-26 02:00:00,42.5,28.974247285972652
2020-08-26 03:00:00,43.95,26.515092367113596
2020-08-26 04:00:00,44.47,28.772846272466253
2020-08-26 05:00:00,48.62,35.0497487252474
2020-08-26 06:00:00,48.24,39.23859796342509
2020-08-26 07:00:00,48.09,37.29135254837105
2020-08-26 08:00:00,48.67,33.48068100191149
2020-08-26 09:00:00,50.91,37.85656141473612
2020-08-26 10:00:00,53.31,56.410131095707946
2020-08-26 11:00:00,119.0,83.60890857354335
2020-08-26 12:00:00,119.29,105.5014709525374
2020-08-26 13:00:00,118.38,111.45600554940532
2020-08-26 14:00:00,116.81,103.70468228581217
2020-08-26 15:00:00,119.32,95.29672432822804
2020-08-26 16:00:00,122.04,97.86920399093361
2020-08-26 17:00:00,123.79,110.50269381193816
2020-08-26 18:00:00,126.05,120.17402213242082
2020-08-26 19:00:00,132.52,113.4937228510869
2020-08-26 20:00:00,127.4,88.85712304846649
2020-08-26 21:00:00,57.3,57.93272427282954
2020-08-26 22:00:00,59.39,35.59819940268339
2020-08-26 23:00:00,55.1,28.07253840653226
2020-08-27 00:00:00,51.77,29.967022459838102
2020-08-27 01:00:00,50.95,31.809077798702635
2020-08-27 02:00:00,50.28,29.62529767276559
2020-08-27 03:00:00,52.05,27.114991011443372
2020-08-27 04:00:00,55.32,29.311130210909205
2020-08-27 05:00:00,60.13,35.517339346991974
2020-08-27 06:00:00,62.67,39.627916489298784
2020-08-27 07:00:00,62.16,37.59640834841905
2020-08-27 08:00:00,60.8,33.69713170017373
2020-08-27 09:00:00,61.47,37.981744132235754
2020-08-27 10:00:00,61.15,56.44306459837662
2020-08-27 11:00:00,127.39,83.5502665090202
2020-08-27 12:00:00,124.48,105.3535267746536
2020-08-27 13:00:00,124.79,111.22255013367109
2020-08-27 14:00:00,124.68,103.3909156278238
2020-08-27 15:00:00,122.9,94.90912308774804
2020-08-27 16:00:00,123.32,97.41536699199756
2020-08-27 17:00:00,124.89,109.99116792628399
2020-08-27 18:00:00,126.64,119.61411125758366
2020-08-27 19:00:00,130.58,112.89528293500597
2020-08-27 20:00:00,126.46,88.23034633023333
2020-08-27 21:00:00,57.77,57.28791605744705
2020-08-27 22:00:00,52.14,34.94555082530687
2020-08-27 23:00:00,49.4,27.421898690520607
2020-08-28 00:00:00,46.51,29.32767420358742
2020-08-28 01:00:00,44.26,31.189518813393867
2020-08-28 02:00:00,43.82,29.03303279700892
2020-08-28 03:00:00,46.77,26.556337224443844
2020-08-28 04:00:00,53.34,28.791038189247494
2020-08-28 05:00:00,58.0,35.0392344092365
2020-08-28 06:00:00,59.55,39.193561600147646
2020-08-28 07:00:00,60.42,37.2057916003515
2020-08-28 08:00:00,57.21,33.348380324095636
2020-08-28 09:00:00,56.8,37.67106677138326
2020-08-28 10:00:00,57.54,56.16472317578015
2020-08-28 11:00:00,121.89,83.29657863954776
2020-08-28 12:00:00,118.65,105.11489923166593
